,KNN,,SVM,,DTC,,ABC,,LR,
Dataset,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test
Diabetic Retinopathy  ,0.74,0.65,0.83,0.69,0.61,0.54,0.84,0.7,0.77,0.74
Default of credit card clients,0.99,0.77,0.99,0.78,0.84,0.78,0.82,0.83,0.79,0.79
Breast Cancer Wisconsin,0.71,0.56,0.99,0.61,0.96,0.97,0.98,0.98,0.97,0.97
Statlog (Australian credit approval),1,0.74,0.94,0.72,0.93,0.84,0.88,0.89,0.88,0.89
Statlog (German credit data),0.81,0.72,0.97,0.86,0.69,0.8,0.78,0.76,0.79,0.77
Steel Plates Faults,0.76,0.66,0.65,0.67,1,1,1,1,0.94,0.95
Yeast,1,0.57,0.73,0.54,0.7,0.59,0.45,0.43,0.6,0.6
Thoracic Surgery Data,0.86,0.8,0.86,0.81,0.88,0.77,0.86,0.81,0.86,0.8
Seismic-Bumps,0.93,0.94,0.93,0.95,0.95,0.92,0.93,0.94,0.93,0.95
